text,intent
"Garden tool has a bent handle.","Product Complaint"
"Hose has a hole in it already.","Product Complaint"
"Sprinkler doesn't oscillate.","Product Complaint"
"Trowel handle came off.","Product Complaint"
"Tools look used despite being labeled new.","Product Complaint"
"Drill bit is dull.","Product Complaint"
"Saw blade has rust on it.","Product Complaint"
"Hammer head wobbles on handle.","Product Complaint"
"Wrench set is incomplete.","Product Complaint"
"Tape measure won't retract.","Product Complaint"
"Level is not actually level.","Product Complaint"
"Screwdriver tip is stripped.","Product Complaint"
"Knife is dull out of the box.","Product Complaint"
"Pliers don't grip well.","Product Complaint"
"Jewelry tarnished within a day.","Product Complaint"
"Necklace clasp doesn't hold.","Product Complaint"
"Ring is loose, doesn't fit listed size.","Product Complaint"
"Earring backs missing.","Product Complaint"
"Bracelet snaps under normal wear.","Product Complaint"
"Watch face has a scratch.","Product Complaint"
"Necklace chain too thin to hold pendant.","Product Complaint"
"Diamond is obviously not real.","Product Complaint"
"Gold plating peeled off.","Product Complaint"
"Stones falling out already.","Product Complaint"
"Listing mentioned waterproof, item isn't.","Product Complaint"
"Said wireless, but it requires a cable.","Product Complaint"
"Marketed as eco-friendly, packaging was plastic-heavy.","Product Complaint"
"Description said vegan, ingredients list animal byproducts.","Product Complaint"
"Listed organic, but no certification.","Product Complaint"
"Said hypoallergenic, my skin says otherwise.","Product Complaint"
"Claimed sugar-free, has sugar in ingredients.","Product Complaint"
"Listed gluten-free but contains wheat.","Product Complaint"
"Advertised handmade, looks factory-produced.","Product Complaint"
"Said locally sourced, label says imported.","Product Complaint"
"Performance is nowhere near what was promised.","Product Complaint"
"Specs sheet doesn't match the actual product.","Product Complaint"
"Numbers on the box are different from the listing.","Product Complaint"
"Capacity is less than stated.","Product Complaint"
"Range is shorter than advertised.","Product Complaint"
"Speed is much slower than promised.","Product Complaint"
"Resolution doesn't match listed specs.","Product Complaint"
"Audio output far below advertised wattage.","Product Complaint"
"Coverage area is way less than claimed.","Product Complaint"
"Stated lifespan was 5 years, broke in 3 months.","Product Complaint"
"I was charged twice for the same order.","Payment Failure"
"My card was declined but the money was still taken.","Payment Failure"
"Double charge on my credit card statement.","Payment Failure"
"Payment didn't go through but I got charged.","Payment Failure"
"The checkout failed but my bank shows a charge.","Payment Failure"
"I see two charges for the same purchase, please refund one.","Payment Failure"
"Why is there a duplicate transaction on my card?","Payment Failure"
"Card error at checkout but money was deducted.","Payment Failure"
"My PayPal was charged twice for order 12275.","Payment Failure"
"Got charged but order didn't go through.","Payment Failure"
"Pending charge that never cleared, what happened?","Payment Failure"
"Three pending authorizations on my card from your store.","Payment Failure"
"Payment was processed but no order confirmation.","Payment Failure"
"Billing issue — charged the wrong amount.","Payment Failure"
"The total charged doesn't match my invoice.","Payment Failure"
"Apple Pay said success but no order placed.","Payment Failure"
"Triple charge on my Visa for order 99821.","Payment Failure"
"Two duplicate orders, one charge each, I only wanted one.","Payment Failure"
"Card was declined yet the amount is missing from my balance.","Payment Failure"
"Bank shows pending charge from yesterday, I didn't get a confirmation.","Payment Failure"
"I paid $80 but my invoice says $100.","Payment Failure"
"Charged extra fee not shown at checkout.","Payment Failure"
"Why is my total $5 higher than the cart?","Payment Failure"
"Currency conversion fee surprised me — wasn't disclosed.","Payment Failure"
"Tax calculation seems incorrect on my receipt.","Payment Failure"
"Shipping charge doubled at the final step.","Payment Failure"
"Discounted price didn't apply, charged full.","Payment Failure"
"Final amount on statement doesn't match invoice.","Payment Failure"
"Where is the breakdown of these charges?","Payment Failure"
"Hidden fees on my purchase, can you explain?","Payment Failure"
"My checkout keeps failing — error message about payment.","Payment Failure"
"Card declined for no reason — it works elsewhere.","Payment Failure"
"Bank flagged your charge as fraud.","Payment Failure"
"Payment method error during checkout.","Payment Failure"
"Can't complete order, payment keeps timing out.","Payment Failure"
"Visa says insufficient funds but my balance is fine.","Payment Failure"
"AMEX declined, why?","Payment Failure"
"Mastercard rejected at checkout.","Payment Failure"
"Discover charge gets blocked.","Payment Failure"
"International card not accepted, why?","Payment Failure"
"PayPal balance was charged but no order placed.","Payment Failure"
"PayPal account locked because of your charge.","Payment Failure"
"Apple Pay glitch — charged but no order.","Payment Failure"
"Google Pay didn't go through but charged.","Payment Failure"
"Stripe processing error returned but order doesn't exist.","Payment Failure"
"Klarna installment showing but my order is missing.","Payment Failure"
"Afterpay charge happened, where's my order?","Payment Failure"
"Affirm financing approved, order never placed.","Payment Failure"
"Buy now pay later double charge.","Payment Failure"
"Crypto payment received your end? No order showing.","Payment Failure"
"Refund not showing on my card — it's been 14 days.","Payment Failure"
"Where is the refund I was promised last week?","Payment Failure"
"Refund processed but money not in my account.","Payment Failure"
"Statement still shows the original charge, no refund credit.","Payment Failure"
"Refund pending forever, will it actually come?","Payment Failure"
"Refund disappeared from pending.","Payment Failure"
"Refund credit notice issued but no actual refund.","Payment Failure"
"Bank says no refund received from your merchant ID.","Payment Failure"
"Refund status email says complete, statement says no.","Payment Failure"
"When does a refund actually post?","Payment Failure"
"Subscription billed me but I cancelled last month.","Payment Failure"
"Recurring charge keeps coming, can't unsubscribe.","Payment Failure"
"Annual renewal charged without warning.","Payment Failure"
"Trial converted to paid without notice.","Payment Failure"
"Monthly fee charged twice in one billing cycle.","Payment Failure"
"Subscription doubled in price without notification.","Payment Failure"
"Membership auto-renewed at wrong tier.","Payment Failure"
"Cancelled subscription, still charged.","Payment Failure"
"Free trial billed me on day 7 even though I cancelled day 3.","Payment Failure"
"Pro plan upgrade was unauthorized.","Payment Failure"
"Pre-authorization hold not released after 3 weeks.","Payment Failure"
"Hold on my account for an order that was cancelled.","Payment Failure"
"Pending charge stuck for 5 days now.","Payment Failure"
"Pre-auth amount different from final charge.","Payment Failure"
"Authorization charge twice the order total.","Payment Failure"
"Hold on funds well above order value.","Payment Failure"
"Multiple pre-auths pending, none clearing.","Payment Failure"
"Pending charges accumulating, can you clear them?","Payment Failure"
"Authorization expired but funds still held.","Payment Failure"
"Bank flagging pre-auth as suspicious.","Payment Failure"
"Cart total changed after payment — got charged different.","Payment Failure"
"Charged before order confirmed.","Payment Failure"
"Payment processed but order page errored out.","Payment Failure"
"Got a charge with no order email.","Payment Failure"
"Item out of stock yet I was charged.","Payment Failure"
"Charge appeared, no email confirmation.","Payment Failure"
"Order missing from account, but charged for it.","Payment Failure"
"Statement shows charge, app shows no order.","Payment Failure"
"Receipt is for items I didn't buy.","Payment Failure"
"Order number doesn't exist, but you charged me.","Payment Failure"
"Gift card balance vanished after my payment.","Payment Failure"
"Used gift card and was still charged full.","Payment Failure"
"Gift card amount not deducted from total.","Payment Failure"
"Store credit not applied to my purchase.","Payment Failure"
"Promo balance disappeared with no order.","Payment Failure"
"Loyalty points didn't redeem.","Payment Failure"
"Reward dollars not applied at checkout.","Payment Failure"
"Gift card pin invalid even though new.","Payment Failure"
"E-gift card sent to wrong email.","Payment Failure"
"Promo code applied but discount not visible on receipt.","Payment Failure"
"Why was my card charged a foreign transaction fee?","Payment Failure"
"FX fee added without disclosure.","Payment Failure"
"Local currency conversion seems wrong.","Payment Failure"
"Charged USD instead of GBP.","Payment Failure"
"Wrong currency on my invoice.","Payment Failure"
"Card charged twice in different currencies.","Payment Failure"
"Exchange rate used is way off market.","Payment Failure"
"International fee on a domestic order?","Payment Failure"
"Why is there a cross-border charge?","Payment Failure"
"Sales tax for the wrong state was applied.","Payment Failure"
"Tax exempt status not recognized on order.","Payment Failure"
"VAT charged on a non-EU order.","Payment Failure"
"GST should not apply, I'm overseas.","Payment Failure"
"Resale certificate not honored, tax charged.","Payment Failure"
"Tax line item is incorrect.","Payment Failure"
"No tax on this item type, why was it charged?","Payment Failure"
"Charity exempt org, tax should be removed.","Payment Failure"
"Tax-free state, why was tax applied?","Payment Failure"
"School district exemption ignored.","Payment Failure"
"Order failed but my bank balance is lower.","Payment Failure"
"Quick payment dispute — charge I don't recognize.","Payment Failure"
"Unknown charge from your company.","Payment Failure"
"I never made this purchase, please explain.","Payment Failure"
"Fraudulent transaction on my account.","Payment Failure"
"I want to dispute this charge.","Payment Failure"
"Initiating chargeback on order 33002.","Payment Failure"
"Bank notified of suspicious charge from your store.","Payment Failure"
"Card stolen, see charges from you — please cancel.","Payment Failure"
"Lost card, unrecognized charges from your site.","Payment Failure"
"Card number I don't own showing on my account.","Payment Failure"
"Payment processor error message — please advise.","Payment Failure"
"Stripe error code 402 at checkout.","Payment Failure"
"PayPal error E12 — what does it mean?","Payment Failure"
"Visa direct authorization denied.","Payment Failure"
"Bank says no funds reserved, but order failed.","Payment Failure"
"Network timeout during payment, did it go through?","Payment Failure"
"Connection dropped mid-payment, order status?","Payment Failure"
"Browser crashed during checkout, charged twice.","Payment Failure"
"Refresh after payment, now shows pending.","Payment Failure"
"Mobile app froze during pay step.","Payment Failure"
"Could you split payment between two cards?","Payment Failure"
"Why can't I pay with two different cards?","Payment Failure"
"Partial card payment failed.","Payment Failure"
"Half on card, half on gift card — didn't work.","Payment Failure"
"Cash on delivery option missing for my region.","Payment Failure"
"Bank transfer details for an international order?","Payment Failure"
"Wire transfer charge but no order confirmation.","Payment Failure"
"ACH debit failed, retry?","Payment Failure"
"Direct debit setup failed.","Payment Failure"
"Bank account verification charge wasn't refunded.","Payment Failure"
"Card on file used without my consent.","Payment Failure"
"Saved card charged after I removed it.","Payment Failure"
"Old card still being used for charges.","Payment Failure"
"Default payment method changed without my action.","Payment Failure"
"I never authorized recurring on this card.","Payment Failure"
"Auto-pay enabled without my permission.","Payment Failure"
"Stored card used for purchase I didn't make.","Payment Failure"
"Multiple cards on file, wrong one was charged.","Payment Failure"
"Why isn't my new card showing as default?","Payment Failure"
"Can't change default payment method.","Payment Failure"
"Payment hold on the wrong order.","Payment Failure"
"Charge held for order I cancelled within an hour.","Payment Failure"
"Order cancelled but charge still showing pending.","Payment Failure"
"Why is there still a pending charge for a cancelled order?","Payment Failure"
"Cancellation email received but no refund initiated.","Payment Failure"
"Cancelled item still being processed for payment.","Payment Failure"
"Order cancelled by you, charge remains.","Payment Failure"
"Refund cancellation immediately please.","Payment Failure"
"Cancellation request ignored, card still charged.","Payment Failure"
"Pre-order cancelled, charge stayed.","Payment Failure"
"Charged before my pre-order even shipped.","Payment Failure"
"Pre-order processed payment 2 months before delivery.","Payment Failure"
"Why was my deposit fully charged?","Payment Failure"
"Deposit on a pre-order matches the full price?","Payment Failure"
"Hold for upcoming product became full charge.","Payment Failure"
"Pre-order date passed, charge still doesn't make sense.","Payment Failure"
"Final balance on pre-order not deducted from deposit.","Payment Failure"
"Pre-order discount not applied at final charge.","Payment Failure"
"Was charged before product even released.","Payment Failure"
"Pre-order full charge but item delayed indefinitely.","Payment Failure"
"Saw a 'returned funds' message but no actual money back.","Payment Failure"
"Reverse charge notification but balance unchanged.","Payment Failure"
"Bank confirmation of refund, statement shows nothing.","Payment Failure"
"Echoed transactions doubling my charges.","Payment Failure"
"Card chargeback won, but you sent another invoice.","Payment Failure"
"Dispute resolved in my favor but charge persists.","Payment Failure"
"Bank reissued my refund and was reversed by you?","Payment Failure"
"Why is my reversed charge back?","Payment Failure"
"Refund clawed back by your end.","Payment Failure"
"Refund reversed without explanation.","Payment Failure"
"Invoice mismatch — charged $50 over.","Payment Failure"
"Hidden $10 charge not on the order receipt.","Payment Failure"
"Surcharge added that wasn't disclosed.","Payment Failure"
"Processing fee added — wasn't there at checkout.","Payment Failure"
"Convenience fee never mentioned.","Payment Failure"
"Service charge appeared after the fact.","Payment Failure"
"Restocking fee charged on order I didn't return.","Payment Failure"
"Cancellation fee for a free-cancellation product.","Payment Failure"
"Surprise late payment fee on a paid invoice.","Payment Failure"
"Bank says you charged twice with different merchant IDs.","Payment Failure"
"There's a suspicious login from a device I don't recognize.","Account / Security"
"I can't log into my account, password reset isn't working.","Account / Security"
"Got an alert about a new login from another country.","Account / Security"
"My account was locked, how do I unlock it?","Account / Security"
"Someone may have hacked my account.","Account / Security"
"I'm locked out and the recovery email isn't arriving.","Account / Security"
"Two-factor codes are not coming through.","Account / Security"
"I think my account was compromised, please help.","Account / Security"
"Need to update my email on file.","Account / Security"
"Reset link in email expired before I clicked it.","Account / Security"
"Suspicious email pretending to be from your support.","Account / Security"
"Phishing attempt with my account info.","Account / Security"
"Account shows orders I never placed.","Account / Security"
"Login from Russia last night, wasn't me.","Account / Security"
"Foreign IP login alert — please investigate.","Account / Security"
"Unknown device just logged into my account.","Account / Security"
"Login alert for a city I've never been to.","Account / Security"
"Strange browser session active on my account.","Account / Security"
"Multiple failed login attempts from another country.","Account / Security"
"Brute force attempts on my account detected.","Account / Security"
"Suspicious activity in my account history.","Account / Security"
"Login notification for an IP I don't own.","Account / Security"
"Active session in another time zone.","Account / Security"
"Locked out for too many attempts but I never tried.","Account / Security"
"Account locked even though I just logged in fine.","Account / Security"
"I'm locked out of my account suddenly.","Account / Security"
"Account access denied with no warning.","Account / Security"
"Account suspended without explanation.","Account / Security"
"Locked account, can't reach support.","Account / Security"
"Logged out everywhere and can't log back in.","Account / Security"
"Frozen account, please unfreeze.","Account / Security"
"Disabled account by mistake, please restore.","Account / Security"
"Banned without reason.","Account / Security"
"Account inaccessible, please advise.","Account / Security"
"Password reset email never arrives.","Account / Security"
"Tried to reset password 10 times, nothing came.","Account / Security"
"Forgot password and reset is broken.","Account / Security"
"Password change failed with error.","Account / Security"
"New password not accepted, says doesn't meet criteria but it does.","Account / Security"
"Reset link broken — leads to 404.","Account / Security"
"Old password still works even after reset.","Account / Security"
"Password too weak per your system, but it's strong.","Account / Security"
"Cannot create a strong enough password to meet requirements.","Account / Security"
"Reset emails going to spam, can you whitelist?","Account / Security"
"2FA codes not arriving via SMS.","Account / Security"
"Authenticator app code not accepted.","Account / Security"
"Lost 2FA device, how do I recover?","Account / Security"
"Backup codes don't work for 2FA.","Account / Security"
"2FA SMS to wrong number, how to fix?","Account / Security"
"Disabled 2FA, but still asking for it.","Account / Security"
"TOTP code rejected as invalid.","Account / Security"
"Time-based 2FA not syncing.","Account / Security"
"Hardware key not recognized.","Account / Security"
"Cannot register a new 2FA device.","Account / Security"
"Phone number on file is outdated, need to update.","Account / Security"
"Email on profile is wrong, please correct.","Account / Security"
"Address update on account please.","Account / Security"
"Profile picture won't upload.","Account / Security"
"Name on account misspelled.","Account / Security"
"Billing address change on my profile.","Account / Security"
"Change my country setting.","Account / Security"
"Update payment method on file.","Account / Security"
"Change linked Google account.","Account / Security"
"Update emergency contact info.","Account / Security"
"Suspicious email from support-secure domain — phishing?","Account / Security"
"Got an email asking for my password — is this you?","Account / Security"
"Phishing attempt — they had my order number.","Account / Security"
"Fake password reset email — wasn't me.","Account / Security"
"Scam call pretending to be your security team.","Account / Security"
"SMS asking me to verify my login — looks fake.","Account / Security"
"Email links to a different domain — phishing?","Account / Security"
"Suspicious URL in 'order confirmation' email.","Account / Security"
"Fraud email about my account — please verify it's not real.","Account / Security"
"Random verification text I didn't request.","Account / Security"
"My account placed an order I never authorized.","Account / Security"
"Unauthorized order on my account.","Account / Security"
"Someone bought stuff using my saved card.","Account / Security"
"Order in my history that I never made.","Account / Security"
"Items shipped to an address I don't know.","Account / Security"
"Unrecognized item in my order history.","Account / Security"
"Mystery order on my account dashboard.","Account / Security"
"Someone's using my account to buy gift cards.","Account / Security"
"Account drained of loyalty points.","Account / Security"
"Saved cards used by someone else.","Account / Security"
"Account hacked, please freeze immediately.","Account / Security"
"I think my account is compromised.","Account / Security"
"Help, someone got into my account.","Account / Security"
"Hacker logged into my account just now.","Account / Security"
"My account password was changed without me.","Account / Security"
"Account email was changed by someone.","Account / Security"
"Recovery email replaced by attacker.","Account / Security"
"Phone number swapped on my account.","Account / Security"
"Saved address added that isn't mine.","Account / Security"
"Account is now in someone else's name.","Account / Security"
"How do I recover my account?","Account / Security"
"Recovery process not working.","Account / Security"
"Account recovery taking too long.","Account / Security"
"Recovery questions don't match what I set.","Account / Security"
"Old security questions answers are not accepted.","Account / Security"
"Reset my account back to my control please.","Account / Security"
"Trusted device prompt rejects my response.","Account / Security"
"Device verification loop — I confirmed but it asks again.","Account / Security"
"Browser keeps requiring 2FA on trusted device.","Account / Security"
"Verification email asks me to click but no button shows.","Account / Security"
"Stuck on identity verification screen.","Account / Security"
"ID verification submitted but rejected.","Account / Security"
"Verification took weeks, account still locked.","Account / Security"
"Government ID verification keeps failing.","Account / Security"
"Selfie verification not accepted.","Account / Security"
"Address verification document rejected.","Account / Security"
"Need to delete my account.","Account / Security"
"Privacy request — delete all my data.","Account / Security"
"GDPR data deletion request.","Account / Security"
"Account closure with data export, please.","Account / Security"
"Want to cancel my membership permanently.","Account / Security"
"Erase my profile entirely.","Account / Security"
"Stop all communications and remove me from your system.","Account / Security"
"Right to be forgotten request.","Account / Security"
"Account deactivation request.","Account / Security"
"Close my account immediately.","Account / Security"
"Two accounts created with the same email, merge them please.","Account / Security"
"I have a duplicate account, how to consolidate?","Account / Security"
"Mistakenly signed up twice, please merge.","Account / Security"
"Family member created account under my email.","Account / Security"
"Old account locked, new one needs my history transferred.","Account / Security"
"Migrating from one account to another.","Account / Security"
"Lost access to old account, want to transfer balance.","Account / Security"
"Account associated with wrong email — switch please.","Account / Security"
"Cannot login with social account anymore.","Account / Security"
"Google linked account broken, how to relink?","Account / Security"
"Facebook login no longer works for me.","Account / Security"
"Apple sign-in option missing now.","Account / Security"
"SSO with my company login failed.","Account / Security"
"OAuth error trying to log in.","Account / Security"
"Social account disconnect not saving.","Account / Security"
"Login redirect loop, can't get in.","Account / Security"
"Constant CAPTCHA prevents login.","Account / Security"
"Login page errors on every attempt.","Account / Security"
"Session keeps expiring instantly.","Account / Security"
"Login form throws 500 error.","Account / Security"
"Can't enable 2FA, settings page errors.","Account / Security"
"Settings page won't load.","Account / Security"
"Privacy settings page is blank.","Account / Security"
"Notifications toggle won't save.","Account / Security"
"Profile changes don't persist.","Account / Security"
"Saved address keeps disappearing.","Account / Security"
"Payment method I deleted is back.","Account / Security"
"Settings reverting after I log out.","Account / Security"
"Preferences not syncing across devices.","Account / Security"
"Mobile app shows different account info.","Account / Security"
"Confirmation email for password change came from a strange domain.","Account / Security"
"Verification text came from short code I don't recognize.","Account / Security"
"Security alert email had different branding.","Account / Security"
"Login notification came with strange link.","Account / Security"
"Hi, want to confirm an email I got is legit.","Account / Security"
"Could this email be real? It looks suspicious.","Account / Security"
"Got an SMS — is this from you?","Account / Security"
"Verify this contact please.","Account / Security"
"Is this number actually your support?","Account / Security"
"Caller ID showed your name but voice sounded scammy.","Account / Security"
"Account marked compromised but I see no breach activity.","Account / Security"
"Got a 'data breach' email — was my account in it?","Account / Security"
"Was my data part of the recent breach?","Account / Security"
"Breach notification doesn't include what was exposed.","Account / Security"
"Identity theft concern after seeing your alert.","Account / Security"
"Need a list of devices logged in.","Account / Security"
"Active sessions page is empty but I'm logged in.","Account / Security"
"Logout all devices button doesn't work.","Account / Security"
"Force logout option missing from my account.","Account / Security"
"Cannot revoke a particular session.","Account / Security"
"Session activity log gone.","Account / Security"
"Login history not loading.","Account / Security"
"Cannot see when I last logged in.","Account / Security"
"Audit log missing entries.","Account / Security"
"Wrong device listed under my login history.","Account / Security"
"Recovery phone number SIM-swapped — need urgent help.","Account / Security"
"SIM swap attack — please freeze account.","Account / Security"
"Phone number ported away without authorization.","Account / Security"
"Lost my phone, locked out of 2FA.","Account / Security"
"New phone, can't restore authenticator codes.","Account / Security"
"Authenticator codes lost in phone reset.","Account / Security"
"How to migrate 2FA to new device?","Account / Security"
"Recovery codes ran out, need new ones.","Account / Security"
"Disabled 2FA without account access — possible?","Account / Security"
"Need backup access method enabled.","Account / Security"
"Account hijack reported to police, need your help.","Account / Security"
"Filed police report about account, need confirmation from you.","Account / Security"
"Insurance claim needs your fraud confirmation.","Account / Security"
"Lawyer requested my account breach details.","Account / Security"
"Court ordered access to my account data.","Account / Security"
"Subpoena response — how to request my own data.","Account / Security"
"Account data export delayed for weeks.","Account / Security"
"Data download request never delivered.","Account / Security"
"Export file corrupted, need a new one.","Account / Security"
"Pending data request — when?","Account / Security"
"Account export taking too long.","Account / Security"
"Privacy team contact please.","Account / Security"
"Account safety question — who can see my orders?","Account / Security"
"Who has access to my account history internally?","Account / Security"
"Can I make my account completely private?","Account / Security"
"My coupon code WELCOME10 says expired but the email said tomorrow.","Promotion / Pricing"
"Discount code isn't being applied at checkout.","Promotion / Pricing"
"Promo code is invalid even though it should work.","Promotion / Pricing"
"The price changed between my cart and checkout.","Promotion / Pricing"
"Why is shipping suddenly more expensive?","Promotion / Pricing"
"Sale price didn't apply to my order.","Promotion / Pricing"
"Coupon SAVE20 not working on the bundle.","Promotion / Pricing"
"Item shows discounted price but charged full at checkout.","Promotion / Pricing"
"Loyalty discount not applied automatically.","Promotion / Pricing"
"I missed the sale by an hour, can I still get the price?","Promotion / Pricing"
"Why did the price increase since yesterday?","Promotion / Pricing"
"Code FREESHIP not removing shipping cost.","Promotion / Pricing"
"Newsletter coupon doesn't apply, says invalid.","Promotion / Pricing"
"First-time-buyer discount not honored.","Promotion / Pricing"
"Birthday promo not visible in my cart.","Promotion / Pricing"
"VIP code BLACKFRIDAY expired one day early.","Promotion / Pricing"
"Cyber Monday code not working on Cyber Monday.","Promotion / Pricing"
"Black Friday discount missing at checkout.","Promotion / Pricing"
"Holiday code DISCOUNT25 won't apply.","Promotion / Pricing"
"Christmas code SANTA15 says invalid.","Promotion / Pricing"
"Why won't HELLO10 work on this item?","Promotion / Pricing"
"Storewide 20% off — but my cart doesn't reflect it.","Promotion / Pricing"
"Banner says 30% off, my checkout says full price.","Promotion / Pricing"
"Header bar promotion not pulling through.","Promotion / Pricing"
"Hero image discount missing on cart.","Promotion / Pricing"
"Site says free shipping over $50, charging me anyway.","Promotion / Pricing"
"Cart says free shipping eligible but charged shipping.","Promotion / Pricing"
"Promo bar at top of site lying about discount?","Promotion / Pricing"
"Pop-up offered 15% off, but code provided doesn't work.","Promotion / Pricing"
"Email subject line said 30% off, actual code only gave 10%.","Promotion / Pricing"
"Loyalty tier discount should be 15%, only seeing 5%.","Promotion / Pricing"
"VIP member here, why isn't my discount applied?","Promotion / Pricing"
"Gold tier should mean free shipping always.","Promotion / Pricing"
"Reward points balance vanished mid-checkout.","Promotion / Pricing"
"Why aren't my points redeeming?","Promotion / Pricing"
"Loyalty perks missing on my last 5 orders.","Promotion / Pricing"
"Member-only price not showing.","Promotion / Pricing"
"Subscriber discount not visible.","Promotion / Pricing"
"Insider price says it's applied but cart total unchanged.","Promotion / Pricing"
"Members earn 2x points — not seeing the bonus.","Promotion / Pricing"
"Coupon worked yesterday, now invalid for same item.","Promotion / Pricing"
"Why did the code stop working overnight?","Promotion / Pricing"
"Code worked in cart, removed at checkout.","Promotion / Pricing"
"Code valid per terms but rejected at pay step.","Promotion / Pricing"
"Stacking codes — why can't I use two?","Promotion / Pricing"
"Promo code conflict error — let me use both.","Promotion / Pricing"
"Single-use error but I never used the code.","Promotion / Pricing"
"Already redeemed message — never redeemed.","Promotion / Pricing"
"Coupon limit per customer — but I haven't hit any limit.","Promotion / Pricing"
"Site says one-time use, I have multiple in my email.","Promotion / Pricing"
"Sale items excluded from discount? Wasn't disclosed.","Promotion / Pricing"
"Final sale message popped up after I applied code.","Promotion / Pricing"
"Code exclusions list not visible anywhere.","Promotion / Pricing"
"Coupon T&Cs hidden — why?","Promotion / Pricing"
"Excluded brands not mentioned on promo page.","Promotion / Pricing"
"Promotion fine print is contradictory.","Promotion / Pricing"
"Minimum order $50 — my cart is $52, code still fails.","Promotion / Pricing"
"Threshold for promo not being recognized.","Promotion / Pricing"
"Item count promo wants 3, but I have 4 — code rejected.","Promotion / Pricing"
"Buy 2 get 1 promo — I added 3, no free one applied.","Promotion / Pricing"
"Free gift not added to cart despite qualifying purchase.","Promotion / Pricing"
"BOGO offer not triggering.","Promotion / Pricing"
"BOGO half off — second item full price at checkout.","Promotion / Pricing"
"Free product missing from order.","Promotion / Pricing"
"Gift with purchase not added.","Promotion / Pricing"
"Free sample option grayed out.","Promotion / Pricing"
"Add-on at promo price not honored.","Promotion / Pricing"
"Bundle discount missing — items individually charged full.","Promotion / Pricing"
"Combo set price not applied at checkout.","Promotion / Pricing"
"Mix-and-match promo failed.","Promotion / Pricing"
"Price match for competitor — won't honor mine.","Promotion / Pricing"
"Saw same item cheaper elsewhere — price match?","Promotion / Pricing"
"Price went down after my purchase — adjustment please.","Promotion / Pricing"
"Sale started day after I bought — price adjust?","Promotion / Pricing"
"Price drop within 7 days policy — please honor.","Promotion / Pricing"
"Price match guarantee not being applied.","Promotion / Pricing"
"Competitor link sent — still no price match.","Promotion / Pricing"
"Refund the difference please — sale just started.","Promotion / Pricing"
"Bought yesterday, sale today, just want the difference back.","Promotion / Pricing"
"Pre-sale price not as cheap as advertised sale.","Promotion / Pricing"
"Free shipping over $35 — total is $36 but charged $7 shipping.","Promotion / Pricing"
"Shipping promo not visible.","Promotion / Pricing"
"Free shipping code FREESHIP not applying.","Promotion / Pricing"
"Standard shipping costs double the listed amount.","Promotion / Pricing"
"Expedited shipping promo missing.","Promotion / Pricing"
"International shipping promo for EU not applying.","Promotion / Pricing"
"Free same-day delivery promo not honored.","Promotion / Pricing"
"Pickup discount not showing at checkout.","Promotion / Pricing"
"Curbside free pickup but charged a fee.","Promotion / Pricing"
"Local delivery promo failed.","Promotion / Pricing"
"Gift card balance not reducing my total.","Promotion / Pricing"
"Promo balance applied, still charged full.","Promotion / Pricing"
"Store credit not deducted properly.","Promotion / Pricing"
"Refund credit not visible in checkout.","Promotion / Pricing"
"Gift card combined with promo — error.","Promotion / Pricing"
"Code stack with gift card failed.","Promotion / Pricing"
"Gift wrap was supposed to be free with code, but charged.","Promotion / Pricing"
"Free gift wrap promo not honored.","Promotion / Pricing"
"Personalization fee charged despite promo.","Promotion / Pricing"
"Engraving fee added back at checkout.","Promotion / Pricing"
"Influencer code I tried isn't recognized.","Promotion / Pricing"
"Brand ambassador code expired immediately.","Promotion / Pricing"
"Referral code wouldn't apply to my first order.","Promotion / Pricing"
"Friend referral discount missing for both of us.","Promotion / Pricing"
"Affiliate code not honored at checkout.","Promotion / Pricing"
"Email-exclusive code rejected.","Promotion / Pricing"
"Push-notification offer expired before I could use it.","Promotion / Pricing"
"App-only deal not visible in app cart.","Promotion / Pricing"
"App vs web prices different, why?","Promotion / Pricing"
"Different price on mobile than desktop.","Promotion / Pricing"
"Currency switching changed my prices.","Promotion / Pricing"
"Country select dropped my discount.","Promotion / Pricing"
"Region change lost the cart discount.","Promotion / Pricing"
"Tax differs by region — confusing.","Promotion / Pricing"
"Local sales tax higher than expected.","Promotion / Pricing"
"Sale tax line not removed for tax-free state.","Promotion / Pricing"
"Tax exempt promo not honored.","Promotion / Pricing"
"VAT promo for EU not applying.","Promotion / Pricing"
"GST/HST issue with Canadian order.","Promotion / Pricing"
"Promo with subscribe and save not applying.","Promotion / Pricing"
"Subscribe and save 5% missing from subscription.","Promotion / Pricing"
"Recurring discount stopped applying.","Promotion / Pricing"
"Auto-ship discount not visible.","Promotion / Pricing"
"Long-time subscriber discount not applied anymore.","Promotion / Pricing"
"Quarterly subscription discount gone.","Promotion / Pricing"
"Annual prepay discount missing on renewal.","Promotion / Pricing"
"Founding member price ignored on this order.","Promotion / Pricing"
"Early-bird pricing not honored at checkout.","Promotion / Pricing"
"Founder discount removed after years.","Promotion / Pricing"
"Senior discount not applying.","Promotion / Pricing"
"Student discount not recognized.","Promotion / Pricing"
"Military discount missing.","Promotion / Pricing"
"Veteran ID upload — promo still not on.","Promotion / Pricing"
"First responder discount not visible.","Promotion / Pricing"
"Healthcare worker promo not honored.","Promotion / Pricing"
"Teacher discount didn't apply.","Promotion / Pricing"
"Education email recognized but no discount.","Promotion / Pricing"
